a1;a2;a3;a4;a5;sum
-0.00617813;0.00463208;0.00303689;-0.00545401;0.00396318;0.02326429
-0.00456046;0.00766094;-0.00460544;-0.00472981;0.00623477;0.02779142
-0.0051847;0.00982956;-0.00624479;-0.00698879;0.00858871;0.03683655
-0.00527738;0.01058427;0.00890855;-0.00715629;-0.00705914;0.03898563
-0.00442722;0.01171743;-0.00808273;0.00807643;-0.00728391;0.03958772
0.00869321;0.0127909;-0.01056917;-0.00626672;-0.00464822;0.04296822
-0.00895175;0.01358587;-0.00816013;-0.00737641;0.01090241;0.04897657
0.01035994;0.01806606;-0.00982909;-0.0101223;-0.00847461;0.056852
0.0115287;0.01750926;-0.00891592;-0.01381184;-0.00631019;0.05807591
-0.01766603;0.01292553;0.01026166;0.00698349;-0.01250465;0.06034136
-0.00756594;0.01901636;0.01265592;-0.01104821;-0.01305813;0.06334456
-0.00697263;0.01818112;0.01359429;-0.01838034;-0.00642245;0.06355083
-0.00829387;0.02231323;-0.00963511;-0.01479344;0.01040919;0.06544484
0.01525752;0.01766384;-0.01229062;-0.01206215;-0.00856859;0.06584272
0.011602;0.01194937;0.00966797;-0.01632539;-0.01689395;0.06643868
0.00772901;0.01532486;-0.01472803;-0.01976153;0.0114357;0.06897913
-0.01495415;0.02299945;0.01191999;-0.01308226;-0.00688304;0.06983889
0.01068291;0.0149526;-0.01809086;-0.01756531;0.01002066;0.07131234
-0.01393498;0.02280892;-0.01022693;-0.0116181;0.01297108;0.07156001
-0.0112965;0.01877553;0.01021271;-0.02505375;0.00736201;0.0727005
-0.01975273;0.01759301;0.01124265;0.00839414;-0.01747707;0.0744596
-0.00419171;0.02895638;-0.00863892;-0.02611921;0.00999346;0.07789968
-0.01873403;0.01614327;0.01247655;-0.02195741;0.01207162;0.08138288
-0.01920571;0.02083884;0.01472135;0.00626127;-0.02261574;0.08364291
-0.00341363;0.04221545;-0.01182338;-0.0163874;-0.01059105;0.08443091
-0.0190416;0.01440787;0.01316;-0.02333841;0.01481213;0.08476001
0.01164655;0.01840152;-0.01701852;-0.02541166;0.01238211;0.08486036
-0.01919535;0.03079809;0.01197833;-0.01424795;-0.00933311;0.08555283
-0.01472239;0.04277693;-0.00355826;-0.01930006;-0.00519622;0.08555386
-0.00856397;0.04288025;-0.01288437;-0.01341758;-0.00801433;0.0857605
0.01770042;0.01720679;0.00852148;-0.03586566;-0.00756303;0.08685738
-0.01710582;0.02749626;0.00538533;0.0107796;-0.02655537;0.08732238
-0.02255626;0.02800291;0.00325351;-0.02163218;0.01293202;0.08837688
-0.01676732;0.0224127;-0.02762335;0.01029587;0.0116821;0.08878134
-0.02405553;0.01736154;-0.02264477;0.01519899;0.01413977;0.0934006
0.01856245;0.02818242;-0.0122768;-0.01758648;-0.01688159;0.09348974
-0.01710941;0.02774898;0.01971561;-0.01620092;-0.01415426;0.09492918
-0.01375121;0.03009931;-0.01372739;0.01790131;-0.02052201;0.09600123
0.00923985;0.02738456;0.01155162;-0.03114417;-0.01703185;0.09635205
-0.00313953;0.03610401;-0.03045666;0.01219245;-0.01470026;0.09659291
-0.01633685;0.03609585;0.01252632;-0.01206918;-0.02021614;0.09724434
-0.01526046;0.02655644;-0.01364838;-0.02012421;0.02247662;0.09806611
-0.01934417;0.02397628;0.00763334;-0.03002256;0.01775712;0.09873347
-0.02279381;0.03958299;0.00992623;-0.01322082;-0.01349459;0.09901844
0.02257543;0.02819026;-0.02005573;-0.01819248;-0.01251749;0.10153139
0.02396078;0.02719497;-0.01499617;-0.01927125;-0.01688832;0.10231149
0.01715298;0.02068543;-0.02664473;0.0139384;-0.02513208;0.10355362
0.01704569;0.02041743;0.01515826;-0.03144282;-0.02117857;0.10524277
-0.01851422;0.03268939;-0.02294633;0.02065326;-0.0118821;0.1066853
0.02163374;0.03190406;-0.01590263;-0.01848142;-0.01915375;0.1070756
