0;Says the Annies List political group supports third-trimester abortions on demand.
0.5;When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.
0.75;Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.
0;Health care reform legislation is likely to mandate free sex change surgeries.
0.5;The economic turnaround started at the end of my term.
1;The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
0.25;Jim Dunnam has not lived in the district he represents for years now.
0.5;Im the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate.
0.5;However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.
0.75;Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
0.75;For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin.
0.5;Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty.
0;When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it.
0.75;The economy bled $24 billion due to the government shutdown.
0.25;Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.
0.5;In this last election in November ... 63 percent of the American people chose not to vote ... 80 percent of young people (and) 75 percent of low-income workers chose not to vote.
1;McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful. 
0.25;U.S. Rep. Ron Kind D-Wis. and his fellow Democrats went on a spending spree and now their credit card is maxed out
0.5;Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.
0.75;Almost 100000 people left Puerto Rico last year.
0;Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
0.75;The United States has the highest corporate tax rate in the free world.
0.75;We just had the best year for the auto industry in America in history.
0.5;Says Scott Walker favors cutting up to 350000 families and children off health care.
0.25;Says Mitt Romney wants to get rid of Planned Parenthood.
0;I dont know who (Jonathan Gruber) is.
0.75;Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
0.5;Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.
0;ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga Tenn.
0.75;Youth unemployment in minority communities is about 40 to 45 percent.
1;Says Paul Ryan is still endorsing Trump.
0.25;If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates.
0;What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
0.75;We cut business taxes so today 70 percent of our businesses dont pay a business tax.
0.75;Says Mark Pryor votes with Obama 93 percent of the time.
1;We have a federal government that thinks they have the authority to regulate our toilet seats.
1;Austin is a city that has basically doubled in size every 25 years or so since it was founded.
1;The nuclear test conducted in our nation this time is the Earths 2054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.
0;In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.
1;Under President George W. Bush we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.
0;Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
0.5;Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.
0;Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar company
0;Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
0;We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster. 
0.5;African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.
0;Obamacare will provide insurance to all non-U.S. residents even if they are here illegally.
0;President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
0;It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.
1;Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
