,Slice,Words,Plus Delta,True News,Fake News,True Positive,True Negative,Assertivity,Total Text,,,,,
0,1,2,0,749,911,202,583,47.28915663,2053,,,,,
1,1,2,1,749,911,177,516,41.74698795,2053,,,,,
2,1,2,5,749,911,261,570,50.06024096,2053,,,,,
3,1,3,0,749,911,397,591,59.51807229,2053,,,,,
4,1,3,1,749,911,337,625,57.95180723,2053,,,,,
5,1,3,5,749,911,402,586,59.51807229,2053,,,,,
6,2,2,0,743,902,209,490,42.49240122,2054,,,,,
7,2,2,1,743,902,141,539,41.33738602,2054,,,,,
8,2,2,5,743,902,249,595,51.30699088,2054,,,,,
9,2,3,0,743,902,327,612,57.08206687,2054,,,,,
10,2,3,1,743,902,206,604,49.24012158,2054,,,,,
11,2,3,5,743,902,372,580,57.87234043,2054,,,,,
12,3,2,0,727,878,300,606,56.44859813,2054,,,,,
13,3,2,1,727,878,186,532,44.73520249,2054,,,,,
14,3,2,5,727,878,234,572,50.21806854,2054,,,,,
15,3,3,0,727,878,300,606,56.44859813,2054,,,,,
16,3,3,1,727,878,316,599,57.00934579,2054,,,,,
17,3,3,5,727,878,385,525,56.69781931,2054,,,,,
18,4,2,0,722,877,244,504,46.77923702,2054,,,,,
19,4,2,1,722,877,163,562,45.34083802,2054,,,,,
20,4,2,5,722,877,265,563,51.78236398,2054,,,,,
21,4,3,0,722,877,394,550,59.03689806,2054,,,,,
22,4,3,1,722,877,234,580,50.90681676,2054,,,,,
23,4,3,5,722,877,391,549,58.78674171,2054,,,,,
24,5,2,0,708,929,189,540,44.53268173,2054,,,,,
25,5,2,1,708,929,172,611,47.8313989,2054,,,,,
26,5,2,5,708,929,230,636,52.90164936,2054,,,,,
27,5,3,0,708,929,329,638,59.07147221,2054,,,,,
28,5,3,1,708,929,298,651,57.97189982,2054,,,,,
29,5,3,5,708,929,382,583,58.9492975,2054,,,,,
