,Unnamed: 0,Slice,Words,Plus Delta,Bounds,True News,Fake News,True Positive,True Negative,Assertivity,Total Text
0,0,1,3,5,0.0,1142,1304.0,606.0,794.0,57.23630417007359,2053.0
1,1,1,3,5,0.1,749,911.0,412.0,592.0,60.48192771084337,2053.0
2,2,1,3,5,0.2,749,911.0,404.0,588.0,59.75903614457831,2053.0
3,3,1,3,5,0.25,749,911.0,402.0,586.0,59.51807229,2053.0
4,4,2,3,5,0.0,1152,1311.0,582.0,802.0,56.19163621599675,2054.0
5,5,2,3,5,0.1,743,902.0,388.0,583.0,59.027355623100306,2054.0
6,6,2,3,5,0.2,743,902.0,376.0,582.0,58.2370820668693,2054.0
7,7,2,3,5,0.25,743,902.0,372.0,580.0,57.87234043,2054.0
8,8,3,3,5,0.0,1176,1327.0,623.0,760.0,55.253695565321614,2054.0
9,9,3,3,5,0.1,727,878.0,402.0,529.0,58.006230529595015,2054.0
10,10,3,3,5,0.2,727,878.0,390.0,527.0,57.13395638629284,2054.0
11,11,3,3,5,0.25,727,878.0,385.0,525.0,56.69781931,2054.0
12,12,4,3,5,0.0,griffo,,,,,
13,13,4,3,5,0.1,griffo,,,,,
14,14,4,3,5,0.2,griffo,,,,,
15,15,4,3,5,0.25,722,877.0,391.0,549.0,58.78674171,2054.0
16,16,5,3,5,0.0,griffo,,,,,
17,17,5,3,5,0.1,griffo,,,,,
18,18,5,3,5,0.2,griffo,,,,,
19,19,5,3,5,0.25,708,929.0,382.0,583.0,58.9492975,2054.0
