,1/n,Slice,Words,Plus Delta,True News,Fake News,True Positive,True Negative,Assertivity,Total Text,Responsavel,,,
0,10,1,3,5,,,,,,,tuzita,,,
1,10,2,3,5,,,,,,,tuzita,,,
2,10,3,3,5,,,,,,,tuzita,,,
3,10,4,3,5,,,,,,,tuzita,,,
4,10,5,3,5,,,,,,,tuzita,,,
5,20,1,3,5,,,,,,,augusto,,,
6,20,2,3,5,,,,,,,augusto,,,
7,20,3,3,5,,,,,,,augusto,,,
8,20,4,3,5,,,,,,,augusto,,,
9,20,5,3,5,,,,,,,augusto,,,
10,50,1,3,5,,,,,,,griffo,,,
11,50,2,3,5,,,,,,,griffo,,,
12,50,3,3,5,,,,,,,griffo,,,
13,50,4,3,5,,,,,,,griffo,,,
14,50,5,3,5,,,,,,,griffo,,,
